features,importance
type,0.059850158866617056
second,0.08784006635302194
click,0.22572747704192336
becaus,0.04305784883973772
billion,0.6588633713329152
check new,0.154145891990955
com make,0.16061252464735734
free,0.5314525753003321
day,0.054077894022791353
youtub,3.618782160707798
new,1.1325991292322182
make month,0.16354234362235012
girl,0.07635993958690941
check video,3.094729202848823
check channel,0.4617398656847551
rap,0.05869349066003819
make money onlin,0.08048839666324624
year old,0.1035989900515044
work home,0.09171268059840362
nice,0.039456762285871465
beauti,0.049481416193176045
sub,0.45326591595784926
mani,0.03251167162325776
shit,0.09773571013713478
heard,0.005454047743057916
sorri,0.053902206159222435
advertis,0.13231700910148675
websit,0.4576563169672519
awesom,0.08757535698971639
mean,0.06430973727993042
music,0.10882900585588298
ha,0.1728722858477802
ref,0.2727708376073906
billion view,0.12402661328732115
check extraordinari websit,0.13303259855728475
check new mixtap,0.04337540427650317
post,0.20419975645069188
money onlin,0.09787493457973681
eminem,0.1748281426054907
video,0.6248739331633875
like,0.3874343894290762
subscrib channel,1.1273853332738017
style,0.013279955441081865
realli,0.0844589475138428
facebook,0.7836577016148252
best song,0.02427067611306061
money,1.21658956747064
hey,0.4515733063604466
rapper,0.04051501158776662
song,0.992473693884955
watch video,0.08436241050030767
love,0.8988976900741302
twitter,0.15948950528240402
today,0.022860561174788657
start,0.09788249429602443
subscrib,9.069561912813294
omg,0.043045694767706796
want,0.14916985434929902
remix,0.05593704397721466
vote,0.13146000448150494
whi,0.31657580143949954
great,0.055678414545504845
hit,0.12588628139226044
plz,0.3083959806741981
psi,0.10181802446200773
spam,0.006842765269815865
kati,0.120242276821137
playlist,1.4297734953687042
don,0.09640131494468182
dream,0.26551440049687486
wa,0.16907341863446892
doe,0.027593414912714498
channel,3.4087115578791476
hello,0.0873330156668579
visit,0.21399337407227623
work,0.10121015269330821
shakira,0.18818987635013454
way,0.06931235887849431
day_group_weekday,2.0195942587866167
day_group_weekend,2.116685679368693
thank,0.7152541026026924
watch,0.25584900594891435
perri,0.20415179376904175
look,0.14457357750775676
waka,0.06297109015041147
everyon,0.04539411537415927
lyric,0.03443879380949243
like comment,1.4977003664782815
cover,0.5341841812319099
think,0.07721701041904931
fan,0.05683781840812336
make,0.15166717704809643
world,0.05733166296430224
thumb,1.0177211769876262
tri,0.021600200844902325
best,0.30944471850085015
hate,0.029896553747003597
zonepa,0.011601859317569845
check,6.586096092250399
comment,0.26758490037463817
lot,0.05013397413223734
need,0.028682371793494237
danc,0.09600488638747175
good,0.23009557390499152
old,0.02611273361565775
realli appreci,0.0563319982759632
kati perri,0.17493997939371658
month,0.040592939095897715
time,0.0877086476295125
friend,0.15603823509847264
love song,0.4353406652485241
right,0.04930176897196023
help,0.9497725714403404
view,1.2788342477215153
support,0.18664484213273738
plea check,0.33105702368734846
check music,0.22144850011951225
plea subscrib,0.6589665894579348
traffic_group_peak,0.3700550214316678
quot,0.36294672577255055
veri,0.04323372710918095
rock,0.03967068877203354
just,0.3773716380346513
believ,0.029582866578755036
million,0.050417915670602026
amp,0.19830106664063704
share,0.9727225050847623
come,0.14435386123913224
shuffl,0.018093667527212757
funni,0.04416057062015199
pray,0.02791733298767678
guy check,0.0711278447127295
cool,0.028693011118902777
dont,0.18290784752555864
boy,0.026680941091876464
hey guy,0.8782130983620079
know,0.156546063823385
singer,0.030171734373562492
life,0.08363565323015595
thing,0.05189257045957486
subscrib like,0.10271936450072666
year,0.06870324745415334
page,0.4687237150590354
got,0.14095363413660536
moneygq,0.02031424330270576
rihanna,0.021449379936752777
ani,0.0765743284707634
video youtub,2.0446615256005343
traffic_group_unknown_time,8.969629244943844
lol,0.11565686371560516
make money,0.18065421874649595
onli,0.07467150192342994
plea,4.191097589402959
com,1.0563620697204743
anyon,0.003651776086165715
god,0.011083147145938301
everi,0.056827886733831705
parti,0.025507467102400525
listen,0.039108929201662083
fuck,0.05430772390102261
peopl,0.14067021149788195
home,0.17533617618908257
guy,0.47202418113742073
hope,0.005221612744345439
hear,0.0356365635634537
chanc,0.2234300605025801
roar,0.04156851412893857
everyday,0.009328661745518291
live,0.02337099303857537
read,0.35784795198075775
onlin,0.161431854763312
real,0.027183166892839068
wow,0.032727787902707355
say,0.052455859243664756
follow,0.41301986535470514
appreci,0.10546007712774134
url_presence,14.486900376810205
len_review,2.8341528424971885
