features,importance
check channel,0.4371981959729338
thumb,1.0732640050467233
tri,0.04737572479753199
hate,0.03537986582351227
world,0.13156261630127422
day_group_weekday,1.6680225904035249
make money,0.3357874203085557
look,0.12013707319750891
peopl,0.16584345853850546
boy,0.03681959855373735
watch,0.407722293714693
day_group_weekend,1.150102766666834
shuffl,0.01587442854648865
danc,0.032493300591311794
video,0.7098942724599627
realli,0.13108851071590213
com,1.402509081586417
right,0.051105975804786444
dream,0.2329046323637208
love,0.8227521495819998
perri,0.16230170817635886
million,0.09083419271881295
listen,0.04790717656172555
heard,0.004060794556606152
remix,0.14364288443290835
vote,0.16800878764788474
hey,0.6513702512284891
guy,0.39933445121841415
plea subscrib,0.6062938975967374
websit,0.48946955704928413
ha,0.13687602161236032
eminem,0.11840998684457554
believ,0.07505778026770162
ref,0.24210671581244644
everyday,0.04776420227174781
real,0.02010416487235523
fuck,0.10515703182637519
subscrib,8.646090100305248
like comment,1.4362410205038296
check extraordinari,0.052775479179304224
facebook,0.5499754807919219
visit,0.33608956318918815
view,1.1913276457089728
check new,0.20800495184568252
everi,0.06769488981747833
moneygq,0.007550064404811299
chanc,0.27851757742570893
live,0.03222379492799177
share,1.0886101370296977
roar,0.05396795114289871
whi,0.32003894239743014
support,0.25056400606997103
zonepa com,0.0
think,0.126217347618313
mean,0.08310787347749385
rock,0.05901329805413614
don,0.10764510143933945
hope,0.01522626133775398
today,0.07997740834287512
just,0.37466712496369176
billion,0.5963663390420422
type,0.13482611994158847
want,0.12209395322827893
youtub,3.367771880815109
good,0.2971754381611474
hey guy,0.6213414990937879
year,0.08522200110803542
need,0.024091438016059036
plea,4.193055430680191
onlin,0.1608172956954424
check music,0.15911192320255016
everyon,0.15341292066905676
month,0.0952142156226135
anyon,0.013498135833712592
shit,0.11884281658949611
billion view,0.1980637144824891
new mixtap,0.08817656185323237
appreci,0.22143268119912016
mani,0.08413940499302834
thank,1.0407899265153178
new,0.9330580725322724
best song,0.10150979565167119
girl,0.13153333092846986
hear,0.0884733378349758
great,0.09833838902965855
click,0.23267673464749003
like,0.4232788892763141
second,0.11202653733009436
best,0.28347034140766875
help,1.319797482849376
channel,2.840945707384564
way,0.05168742034843456
music,0.178815945591257
kati,0.1861603789691009
lyric,0.048309178875989435
sub,0.3945242329518349
guy check,0.09845618725097693
day,0.04349892086824714
say,0.04873221660490071
got,0.1522110770380109
dont,0.21312121691440625
page,0.46937849009372967
veri,0.1612833130684382
funni,0.08067998507971821
comment,0.33780858901013827
hello,0.09381882972665931
check playlist youtub,1.771128039375946
rap,0.08150468523840611
subscrib channel,1.3112777643844322
work,0.10498971192684466
life,0.09744005064298093
start,0.15770603487060575
awesom,0.10048141925735032
god,0.02485507111027993
shakira,0.23766796574570506
love song,0.4430744806810433
onli,0.06922060997761631
rapper,0.11964087261508777
friend,0.23119188318554354
pray,0.0667749343229013
style,0.04747768743116298
lot,0.042467555094872454
make,0.1641604423729023
post,0.1564296407671047
traffic_group_unknown_time,9.597070949090302
quot,0.5156551827912332
becaus,0.05546850649272594
parti,0.0625290836869643
check video,2.245105844227925
check,7.630790049817458
come,0.13430755288008547
twitter,0.20685210290282047
lol,0.1073419657562638
song,0.8286484036918295
doe,0.07870825606442151
watch video,0.09463452927363912
amp,0.2851346737027695
realli appreci,0.07666407845139082
free,0.5320554278520053
kati perri,0.1743994573678519
year old,0.08185610825098136
advertis,0.10038037116022412
money,1.3049053457602893
money onlin,0.08084164605577011
make money onlin,0.1421121023825335
rihanna,0.01888881376734422
thing,0.054868050884664135
spam,0.03814975450192522
cover,0.5337868289511866
home,0.19053867525337514
com make,0.09225643233352643
hit,0.08266022269479462
video youtub,2.32415744630783
beauti,0.1285365302727534
plz,0.2894739871273551
sorri,0.05031732767241084
psi,0.1268518062208443
omg,0.03841895821810506
ani,0.053350387326268345
nice,0.1315972289062449
subscrib like,0.13163427923646775
read,0.2921995692438199
work home,0.1086129992258189
cool,0.053508032641141054
fan,0.038706465612319746
wa,0.25880659650372856
traffic_group_peak,0.3781502113916608
follow,0.4456350591197031
singer,0.026496341996300465
waka,0.04460243327932653
wow,0.04883798714690164
old,0.054746728835666766
time,0.17561744166501206
make month,0.21252710697752517
plea check,0.33558481669411155
know,0.1899446682167801
url_presence,12.414359809759928
len_review,2.292124631703741
