features,importance
type,0.1261239274425608
second,0.04236459816671884
click,0.22265952577454812
becaus,0.02992535600553462
billion,0.4333065630558003
check new,0.12545317737636588
com make,0.04528825630173227
free,0.7189833596505679
day,0.012769976053149192
youtub,3.546514828859668
new,0.8726743221866942
make month,0.03020757175975305
girl,0.07540435134408055
check video,1.9553561205047316
check channel,0.1571015831255811
rap,0.02400707594379605
make money onlin,0.006833715350438258
year old,0.003712442464849052
work home,0.01989920535220666
nice,0.047294441176465966
beauti,0.02754337507208883
sub,0.3084857242458816
mani,0.03665403678863428
shit,0.12468731194724406
heard,0.001601594202314369
sorri,0.014869940250614926
advertis,0.0035025441338200837
websit,0.3993710800286908
awesom,0.04471431352435501
mean,0.0399932626558046
music,0.05013226291738134
ha,0.1322242794891702
ref,0.4158750823876709
billion view,0.06812363146706289
check extraordinari websit,0.015903834247501077
check new mixtap,0.008558436562694742
post,0.022052404028634936
money onlin,0.004422453055991225
eminem,0.05425354068430672
video,0.9451288822684472
like,0.3796692636822892
subscrib channel,0.6888269971932689
style,0.019874134564150048
realli,0.06601855345290247
facebook,0.4845504426321585
best song,0.018133704011585587
money,1.8827268183816162
hey,0.5336155954400764
rapper,0.02023814878521931
song,1.328860266878433
watch video,0.03731444300397646
love,0.8322623504983455
twitter,0.3272750912384101
today,0.03529170273530373
start,0.08870370096997117
subscrib,11.627557799283633
omg,0.016802740009153133
want,0.06707076145939389
remix,0.0022519169720203384
vote,0.062327001519948466
whi,0.23228045297097058
great,0.04726440360727954
hit,0.04035686383506016
plz,0.11439639916238689
psi,0.09235209018576393
spam,0.0013616189740829057
kati,0.10802756551424847
playlist,0.5317565535344908
don,0.04147281847368916
dream,0.08235868311461175
wa,0.19513533444338055
doe,0.022528957748065567
channel,4.1617721812346975
hello,0.04309891301224334
visit,0.22621366179130942
work,0.08153381215431794
shakira,0.1242300692152657
way,0.01961360044031638
day_group_weekday,1.0722135466155742
day_group_weekend,0.5709635244584466
thank,0.8531780106339388
watch,0.3177187661605155
perri,0.16354409110477772
look,0.07775531910982822
waka,0.016884928375519012
everyon,0.056642528225228375
lyric,0.024186774068480958
like comment,1.402894461066793
cover,0.16594780386381022
think,0.08531900844150413
fan,0.015524701597639301
make,0.28337675227416986
world,0.10090748868978691
thumb,1.4252116481914405
tri,0.012334899366207538
best,0.21004600947875005
hate,0.017491626190234776
zonepa,1.959415622728297e-05
check,14.264677658741965
comment,0.275820196828011
lot,0.041681995666601156
need,0.030825591399682994
danc,0.041815094692469607
good,0.15368635218509313
old,0.01584561220562878
realli appreci,0.0035446311268726993
kati perri,0.07697333390679524
month,0.06000766432656045
time,0.047251178227879116
friend,0.0892183008747249
love song,0.05472174750185055
right,0.016929559053712857
help,1.769543380434221
view,1.8062799827509766
support,0.08371829018066503
plea check,0.06315824696718414
check music,0.0459693131085064
plea subscrib,0.29661900501518473
traffic_group_peak,0.2808120602919238
quot,0.16673386588635516
veri,0.05498283375295297
rock,0.01581898232355534
just,0.36705994781509055
believ,0.025918474262490655
million,0.051632793503111916
amp,0.22046333429524734
share,1.1941808505611355
come,0.13458195790484745
shuffl,0.003023702072096456
funni,0.05755247971129184
pray,0.010660262787156946
guy check,0.013162829924655091
cool,0.009245152694948137
dont,0.13457450775121166
boy,0.002015671942763422
hey guy,0.3211335457507361
know,0.1345326425983348
singer,0.011929555266927247
life,0.017919708388260725
thing,0.034401875547920256
subscrib like,0.08836072435076969
year,0.03427603577874941
page,0.47738217180758663
got,0.11635735702645765
moneygq,2.8658723434601797e-05
rihanna,0.004935827524046353
ani,0.023927082960073592
video youtub,1.470408449636649
traffic_group_unknown_time,6.894045672850615
lol,0.09968322245191509
make money,0.3285388799731586
onli,0.09222078711269516
plea,4.901436862680591
com,1.4825522431241678
anyon,0.003188169179786929
god,0.0019711282421049654
everi,0.051813981474886465
parti,0.014767278013540759
listen,0.023303426122069225
fuck,0.02617786610042109
peopl,0.14660161867901794
home,0.1720447043732445
guy,0.6673458407966467
hope,0.0036340752620090686
hear,0.037381502939661894
chanc,0.03125419488991085
roar,0.014039576485988633
everyday,0.0007411640584581747
live,0.0386197029644256
read,0.11540243563718992
onlin,0.03857269974769976
real,0.02614421581724791
wow,0.0342098405813033
say,0.04626900026203247
follow,0.38216331794229325
appreci,0.019231054701811166
url_presence,11.74273961933599
len_review,5.076340158117265
